name,photo,facebook,instagram,description
Abhay Dramatics Club,https://scontent.fknu2-1.fna.fbcdn.net/v/t1.6435-9/119470037_3808769809136546_5440957026445523354_n.jpg?_nc_cat=108&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=1g8_EHc2cgcAX-QKn9V&_nc_ht=scontent.fknu2-1.fna&oh=81a46fe50fc785de2dbe9d02ba44bef1&oe=60C8F924,https://www.facebook.com/abhaydramaticsclub,https://www.instagram.com/abhay_dramatics_club/,"At least once in your life, you must have tried to pretend among your crewmates that you ain't the impostor. And if you were successful in disguising yourself in a skillful manner, you can definitely give it a shot here."
Arka,https://scontent.fccu1-1.fna.fbcdn.net/v/t1.6435-9/106917932_3545200458857971_3152116584001696305_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=pO18yP-mDLwAX9o869U&_nc_ht=scontent.fccu1-1.fna&oh=1e41eb533c148148f05c37b7e6e32915&oe=60C7D050,https://facebook.com/ARKAiitism/?tsid=0.3765671034839271&source=result,https://www.instagram.com/arka_iit_ism/?hl=en,"The Astronomy Club of IIT(ISM) is a paradise for all those who have ever looked at the night sky and said, ""Hey! A shooting Star"", in joy and excitement. The club features the state-of-the-art Dobsonian Telescope to observe the night sky in a way you might have never experienced before"
Art Freaks,https://scontent.flko7-1.fna.fbcdn.net/v/t1.6435-9/39974474_1782905125161767_8202060338925928448_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=43Gk1ORNaOEAX_5AWSQ&tn=J9VxlCLihxzkGI0C&_nc_ht=scontent.flko7-1.fna&oh=23e2825c4a20795edbb38ebc2ba7a2c5&oe=60C7B1B3,https://www.facebook.com/artfreaks.ism/,https://www.instagram.com/art._freaks,"We aim to pioneer a trend and inculcate enthusiasm for art and creativity among the students of IIT(ISM), Dhanbad."
Book Club,https://scontent.fknu2-1.fna.fbcdn.net/v/t1.6435-9/69560158_463979917491562_6304744856447090688_n.png?_nc_cat=102&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=n9RS9-1-ZecAX-H3Ap7&_nc_ht=scontent.fknu2-1.fna&oh=d9ef55fa03238122edf15ff4392071ab&oe=60C9A43F,https://www.facebook.com/bookclubiitismdhanbad,https://www.instagram.com/bookclub.iit_ism/,"Here you will get a chance to read, review, write and discuss a wide variety of books with other people having similar inclinations. The club also has an extensive library of more than 1000 books."
चयनिका संघ,https://scontent.flko7-1.fna.fbcdn.net/v/t1.6435-9/72771561_2719676158088863_5117871313242816512_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=H4HA9BtvLlQAX-9iAMT&_nc_ht=scontent.flko7-1.fna&oh=23f6d977c69c1b1b56a8ae5050626085&oe=60CB6FC9,https://www.facebook.com/chayanikaIITISMdhanbad,https://www.instagram.com/chayanikaism/?hl=en,"चयनिका संघ को 1965 से आईआईटी (आईएसएम) धनबाद की साहित्यिक समिति होने का गौरव प्राप्त है। हम आपको हिंदी, उर्दू और अन्य क्षेत्रिय भाषाओं में अपने कौशल को बढ़ावा देने और विकसित करने के लिए प्रेरित करते हैं।"
Cyber Labs,https://scontent.flko7-1.fna.fbcdn.net/v/t31.18172-8/10958030_632069320232239_8169566391592347624_o.jpg?_nc_cat=109&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=W-oi7opPOnIAX85LlQL&_nc_ht=scontent.flko7-1.fna&oh=8ebe555e1bd17ca9b3025f8c0e1754c3&oe=60CA23BB,https://www.facebook.com/labscyber,https://www.instagram.com/madepossibleincyberlabs/,Cyber Labs is an initiative by the students of ISM on the footsteps of MIT MediaLabs to learn vital concepts of engineering by working on realtime projects
Ecell,https://scontent.fknu2-1.fna.fbcdn.net/v/t1.6435-9/51169481_1995107090567610_9086195179467046912_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=OtFcj4Xw9sQAX-oQUsQ&_nc_ht=scontent.fknu2-1.fna&oh=da4f8e1df2cee064d59679c343b7752b&oe=60CA3BC4,https://www.facebook.com/ecelliitism,https://www.instagram.com/ecell_iitism/,We strive in promoting entrepreneurship among college students of India and helping them converting their ideas into reality.
FotoFreaks,https://scontent.fccu1-1.fna.fbcdn.net/v/t1.6435-9/126249965_3650102931751392_3951623962931060989_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=K6kLqQZH3PYAX-EA_iT&_nc_oc=AQmLXiu6vmnF3O0PGJesTtD100JpkjFL0po6_oC1wszEP9Qm4ytZK7QjoWE42Pdokf0&_nc_ht=scontent.fccu1-1.fna&oh=fa602d4db042715f9d72c3e15e42a88e&oe=60C8EDC5,www.facebook.com/fotofreaks.iitism,https://www.instagram.com/fotofreaks_iitism/?hl=en,"The photography club of IIT (ISM) is a group of young enthusiastic photographers, where capturing moments and emotions is not just a hobby, it is a medium to express who you are and how you see the world."
Kartavya,https://scontent.fccu1-1.fna.fbcdn.net/v/t1.6435-9/51588544_2449381211756989_2987101393036247040_n.jpg?_nc_cat=104&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=cubmCaPGO8YAX_l_GIK&_nc_ht=scontent.fccu1-1.fna&oh=b4e46214ad814d05b057986b38468847&oe=60CA2C8A,https://www.facebook.com/kartavya.org,https://www.instagram.com/kartavya_dhanbad/?hl=en,"Kartavya (Reg. Under Society Reg. Act 21, 1860, Reg. no. S/63750/2008 as the name KARTAVYA) is a Non-Governmental Organisation (NGO) providing free and high quality education to underprivileged children living in slums and villages in India"
Lights Camera ISM,https://scontent.fccu1-1.fna.fbcdn.net/v/t1.18169-9/14595830_1666900113600378_3910672118203359532_n.png?_nc_cat=108&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=BCGXnb39iYYAX_Cp7vt&_nc_oc=AQn-z3A5UNn7K24yBY6DNrO0vHmuBh_dgPg5zDtRnssKr9XqLZBuYnRSETwIt6Eitcs&_nc_ht=scontent.fccu1-1.fna&oh=f8800ad026364fa209d6e42787f5882a&oe=60CA37F8,https://www.facebook.com/14ryproductions/,https://www.instagram.com/lightscameraism/,The official Filmography club of IIT (ISM) Dhanbad.
LITC,https://scontent.flko7-1.fna.fbcdn.net/v/t1.18169-9/14054139_1904177716476538_5000320999879362494_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=SKSyFnltigEAX9J4ork&_nc_ht=scontent.flko7-1.fna&oh=69af5256bff2b7dcdb77492970f85543&oe=60C858F2,https://www.facebook.com/litcism/,https://www.instagram.com/litc.ism/?hl=en,"The Literary and Debating Club of IIT(ISM) Dhanbad is a club trying to recreate the forgotten bond between ISMites and literature and in the process giving necessary heed to general awareness, developing opinions and personalities, and nurturing communication skills."
LITM,https://scontent.fknu2-1.fna.fbcdn.net/v/t1.6435-9/69318349_2408941086028912_4324515885017464832_n.jpg?_nc_cat=101&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=S3FjuN9nDvoAX8lYzra&_nc_ht=scontent.fknu2-1.fna&oh=d983f7383085d151f90f6ae9d99a499b&oe=60C82FDF,https://www.facebook.com/LITM.ISM,https://www.instagram.com/legends_iitdhanbad/,"Spreading the plague of music,groove and beats is LITM,the Official Dance Society of IIT(ISM) Dhanbad where the Beasts are unleashed on the floor !"
Mailer Daemon,https://scontent.fccu1-1.fna.fbcdn.net/v/t1.6435-9/90089823_3051600828235814_7121474201071910912_n.png?_nc_cat=100&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=0wfa7M9fK5sAX_Qu9dL&_nc_ht=scontent.fccu1-1.fna&oh=da9dab6d6afe38b1454d592ffc1b3549&oe=60C9F0C0,https://facebook.com/MDiitism,https://www.instagram.com/md_iit_dhanbad/,Mailer Daemon is the on-campus Students' media body of IIT (ISM) Dhanbad.It is a non-profit organisation which aims to bring the latest developments in the institute to the notice of the students.
Manthan,https://scontent.fccu1-1.fna.fbcdn.net/v/t1.6435-9/186245773_160471569415419_1691353651990479311_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=pyIcebwOJI4AX8dL_vS&_nc_oc=AQkYGrlwfWgi6W4UfpvWqvi-TxJv678ArN7VfXK_1C4koucK5OzfPCY9Ks9B9ruoyjU&_nc_ht=scontent.fccu1-1.fna&oh=fe5c8c9afb2e50b48ab1b9038aa461ba&oe=60C97A60,https://www.facebook.com/manthan.iitism/,https://instagram.com/manthan_iitdhn?igshid=10oee8zwd5004,"Manthan is the official music club of IIT (ISM), aiming to provide a platform and launching pad to the culturally enlightened and musically aware minds of our college. It strives to develop a sense of music among all the members and allows the communion of talent and passion while encouraging and helping enthusiasts."
MECHISMU,https://scontent.flko7-1.fna.fbcdn.net/v/t1.6435-9/51226011_2227375747319541_6938046163723485184_n.jpg?_nc_cat=110&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=0jIRNmYAQkUAX_p2_-d&_nc_ht=scontent.flko7-1.fna&oh=22939d9f51c905e7956843978fe377c2&oe=60CAE097,https://www.facebook.com/mechismu,https://www.instagram.com/mechismuracing,Racing is Religion
Mic Drop Toastmasters,https://scontent.fccu1-1.fna.fbcdn.net/v/t1.6435-9/30441187_1826431800712307_5001054877170794496_n.png?_nc_cat=100&ccb=1-3&_nc_sid=e3f864&_nc_ohc=XFHyG1QIolYAX8rDOK-&_nc_ht=scontent.fccu1-1.fna&oh=ed7ee43ec2649b3e497d4813bd8be57a&oe=60C9ABA1,http://www.facebook.com/micdroptoastmasters/,https://www.instagram.com/micdroptoastmasters/,"Mic Drop Toastmasters Club, the public speaking club of IIT (ISM) Dhanbad, is one of the most prominent clubs in not only Dhanbad but also in Eastern India."
Quiz Club IIT (ISM),https://scontent.fccu1-1.fna.fbcdn.net/v/t1.6435-9/131157183_3620124208081832_6142012287690813114_n.jpg?_nc_cat=105&ccb=1-3&_nc_sid=825194&_nc_ohc=3Nk7_H-MftoAX_2N59u&_nc_ht=scontent.fccu1-1.fna&oh=59d847197c9dc21873af7cfde06e9225&oe=60C7CD84, https://www.facebook.com/groups/quiziapaclub.ism/,https://www.instagram.com/quizclubiitism/?hl=en,"The Quizzing Club of IIT (ISM), the perfect club for anyone who loves movies, books, shows, sports, business, trivia, or science. It aims to nurture and propagate a culture of quizzing in the institute. QuizClub aims to provide you an opportunity to channel your love of trivia. "
RoboISM,https://scontent.fccu1-1.fna.fbcdn.net/v/t31.18172-8/22459282_1637642292967040_3232778462120418324_o.png?_nc_cat=110&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=6O1k-qcfZgYAX_tQHUx&_nc_ht=scontent.fccu1-1.fna&oh=55a716bea1ba5709773e446ee19e67a9&oe=60CB5E91,https://www.facebook.com/roboism/,https://www.instagram.com/robo_ism/?hl=en,"The Robotics Club is a community of students who derive pleasure in creating mechanical peers that may even be potent to work without human intervention. Each member of this family is provided mechanical, electronic, monetary and informatory aid besides the indispensable guidance of experienced crewmates."
Udaan,https://scontent.fknu2-1.fna.fbcdn.net/v/t1.6435-9/47382786_2264745230477248_8879396537138937856_n.jpg?_nc_cat=100&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=fzHVwUtVKegAX8TevtS&_nc_ht=scontent.fknu2-1.fna&oh=ab52c062a864cfedf1bd4d71501673fc&oe=60CB773D,https://www.facebook.com/udaan.iitism/,https://www.instagram.com/udaan.iitism/,Udaan aims to provide students with an exposure about various opportunities and career paths they can pursue during and after graduation.
WTC,https://scontent.fknu2-1.fna.fbcdn.net/v/t1.6435-9/67700307_2376854759199474_739133905654775808_n.jpg?_nc_cat=111&ccb=1-3&_nc_sid=09cbfe&_nc_ohc=Cb2azQoyRasAX-Kx0rU&tn=ZLDN0B2vjt6PG6SA&_nc_ht=scontent.fknu2-1.fna&oh=12e2f1cf22d475f71d2e4640c33ac07b&oe=60C87BC4,https://www.facebook.com/wethecrew/,https://www.instagram.com/wtc_society/,"WE THE CREW"" (WTC), Official street dance crew of IIT (ISM) DHANBAD"